Timestamp,Task ID (check with supervisor),Participant ID,Trial 1 [Object 1],Trial 1 [Object 2],Trial 1 [Object 3],Trial 1 [Object 4],Trial 1 [Object 5],Trial 2 [Object 1],Trial 2 [Object 2],Trial 2 [Object 3],Trial 2 [Object 4],Trial 2 [Object 5],Trial 3 [Object 1],Trial 3 [Object 2],Trial 3 [Object 3],Trial 3 [Object 4],Trial 3 [Object 5],The robot was a good learner,The robot perceived accurately what my goals were.,I trusted the robot to place the objects in an appropriate order,The robot copied my demonstrations,The robot learned multiple valid orderings for completing the task.,The robot only copied me,How would you rate the robot's learning performance,Open-ended Comments
,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 8:44:44,Test A,10000,Dinner Plate,Fork,Spoon,Small Plate,None,Spoon,Dinner Plate,Small Plate,Fork,None,Spoon,Dinner Plate,Fork,Small Plate,None,2,1,4,3,5,,6,
1/15/2020 9:20:52,Test B,10000,Dinner Plate,Fork,Spoon,Small Plate,Bowl,Fork,Spoon,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Small Plate,Bowl,Spoon,5,5,5,4,3,,9,
1/15/2020 19:12:20,A,1,Knife,Fork,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Fork,Small Plate,Bowl,5,5,4,2,4,,9,
1/15/2020 20:08:16,B,1,Dinner Plate,Knife,Small Plate,Fork,Bowl,Dinner Plate,Knife,Small Plate,Fork,Bowl,Dinner Plate,Knife,Small Plate,Fork,Bowl,5,4,5,5,1,,3,
1/15/2020 20:34:10,C,1,Knife,Dinner Plate,Small Plate,Fork,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,4,5,4,1,3,,8,
1/16/2020 8:44:38,B,2,Dinner Plate,Fork,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Knife,Bowl,4,5,5,5,5,,10,
1/16/2020 9:10:25,C,2,Fork,Dinner Plate,Knife,Small Plate,Bowl,Fork,Dinner Plate,Knife,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,5,5,5,5,4,,8,
1/16/2020 9:46:23,A,2,Dinner Plate,Knife,Fork,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,4,5,5,5,4,,8,
1/16/2020 11:04:49,C,3,Dinner Plate,Fork,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Knife,Fork,Dinner Plate,Fork,Small Plate,Bowl,Knife,5,5,5,3,4,,9,
1/16/2020 11:41:56,A,3,Dinner Plate,Fork,Knife,Small Plate,Bowl,Dinner Plate,Fork,Small Plate,Knife,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,5,5,3,5,,10,
1/16/2020 12:18:38,B,3,Dinner Plate,Knife,Small Plate,Bowl,Fork,Dinner Plate,Knife,Fork,Small Plate,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,5,5,5,4,5,,10,
1/16/2020 14:22:04,A,4,Dinner Plate,Small Plate,Fork,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Bowl,Knife,5,5,4,3,5,,9,
1/16/2020 14:57:59,B,4,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,4,4,4,5,1,,8,
1/16/2020 15:20:35,C,4,Dinner Plate,Knife,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,5,5,4,4,,10,
1/16/2020 16:51:33,B,5,Dinner Plate,Fork,Knife,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Knife,Small Plate,Bowl,4,5,5,2,5,,9,
1/16/2020 17:15:41,C,5,Fork,Dinner Plate,Small Plate,Knife,Bowl,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Fork,Small Plate,Bowl,Knife,4,4,5,4,5,,9,
1/17/2020 11:15:35,B,6,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Knife,Small Plate,Bowl,Knife,Dinner Plate,Fork,Small Plate,Bowl,5,5,3,2,4,,10,
1/17/2020 11:40:41,C,6,Dinner Plate,Fork,Small Plate,Knife,Bowl,Dinner Plate,Knife,Small Plate,Bowl,Fork,Fork,Dinner Plate,Small Plate,Bowl,Knife,5,5,3,2,4,,10,
1/17/2020 12:32:21,A,6,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,4,3,4,2,,9,
1/20/2020 16:46:52,C,7,Fork,Dinner Plate,Knife,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,5,5,4,3,5,,9,
1/20/2020 17:24:18,A,7,Dinner Plate,Knife,Fork,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Dinner Plate,Small Plate,Bowl,Fork,Knife,5,5,5,4,4,,9,
1/20/2020 18:06:34,B,7,Dinner Plate,Fork,Knife,Small Plate,Bowl,Fork,Dinner Plate,Knife,Small Plate,Bowl,Knife,Dinner Plate,Fork,Small Plate,Bowl,4,5,5,4,4,,9,
1/21/2020 14:16:33,A,9,Dinner Plate,Small Plate,Knife,Bowl,Fork,Fork,Knife,Dinner Plate,Small Plate,Bowl,Dinner Plate,Small Plate,Fork,Knife,Bowl,4,4,4,1,4,,9,
1/21/2020 14:50:57,B,9,Dinner Plate,Knife,Small Plate,Fork,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,Dinner Plate,Small Plate,Knife,Bowl,Fork,4,4,4,1,4,,9,
1/21/2020 15:13:27,C,9,Dinner Plate,Small Plate,Knife,Fork,Bowl,Dinner Plate,Knife,Small Plate,Bowl,Fork,Dinner Plate,Fork,Small Plate,Bowl,Knife,4,4,4,2,4,,9,
1/23/2020 16:37:51,C,10,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Fork,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,4,5,4,4,5,,8,
1/23/2020 17:15:31,A,10,Knife,Fork,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,5,5,4,3,5,,9,
1/23/2020 17:59:37,B,10,Knife,Fork,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,5,5,4,2,5,,9,
1/23/2020 19:28:48,B,11,Dinner Plate,Knife,Fork,Small Plate,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,4,5,5,4,5,,8,
1/23/2020 19:50:31,C,11,Knife,Fork,Dinner Plate,Small Plate,Bowl,Dinner Plate,Fork,Small Plate,Bowl,Knife,Fork,Dinner Plate,Knife,Small Plate,Bowl,5,5,5,5,4,,9,
1/23/2020 20:32:34,A,11,Dinner Plate,Fork,Knife,Small Plate,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,Dinner Plate,Fork,Small Plate,Bowl,Knife,4,4,4,3,4,,8,
1/25/2020 8:52:18,A,12,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Fork,Knife,Small Plate,Bowl,5,4,4,3,5,,10,
1/25/2020 9:28:10,B,12,Dinner Plate,Fork,Small Plate,Knife,Bowl,Dinner Plate,Fork,Small Plate,Knife,Bowl,Dinner Plate,Fork,Knife,Small Plate,Bowl,4,3,4,5,2,,7,
1/25/2020 9:48:23,C,12,Knife,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Fork,Small Plate,Knife,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,5,5,3,2,5,,10,
1/25/2020 11:22:27,C,13,Fork,Dinner Plate,Knife,Small Plate,Bowl,Fork,Dinner Plate,Small Plate,Knife,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,5,5,5,5,,10,
1/25/2020 12:02:23,A,13,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,5,5,5,5,3,,10,
1/25/2020 12:37:38,B,13,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,5,5,5,5,3,,10,
1/25/2020 14:16:17,C,14,Fork,Dinner Plate,Small Plate,Bowl,Knife,Fork,Knife,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,5,4,5,3,4,,10,
1/25/2020 14:58:34,A,14,Dinner Plate,Small Plate,Bowl,Knife,Fork,Knife,Fork,Dinner Plate,Small Plate,Bowl,Dinner Plate,Fork,Small Plate,Bowl,Knife,5,5,5,3,4,,9,
1/25/2020 15:49:46,B,14,Knife,Dinner Plate,Fork,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,5,4,5,5,4,,10,
1/25/2020 16:51:26,B,15,Knife,Fork,Dinner Plate,Small Plate,Bowl,Dinner Plate,Small Plate,Knife,Fork,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,4,5,5,4,5,,9,
1/25/2020 17:22:29,C,15,Knife,Dinner Plate,Small Plate,Fork,Bowl,Dinner Plate,Fork,Small Plate,Bowl,Knife,Fork,Knife,Dinner Plate,Small Plate,Bowl,4,5,4,5,4,,7,
1/25/2020 18:02:42,A,15,Knife,Fork,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Knife,Fork,Small Plate,Bowl,5,5,4,4,5,,8,
1/25/2020 20:47:28,A,16,Knife,Fork,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,Fork,Dinner Plate,Knife,Small Plate,Bowl,5,5,4,2,5,,9,
1/25/2020 20:47:34,B,16,Knife,Fork,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Knife,Small Plate,Bowl,5,5,4,2,5,,9,
1/25/2020 20:47:56,C,16,Dinner Plate,Fork,Knife,Small Plate,Bowl,Fork,Dinner Plate,Small Plate,Bowl,Knife,Knife,Fork,Dinner Plate,Small Plate,Bowl,5,5,4,2,5,,9,
1/26/2020 11:42:50,C,17,Fork,Knife,Dinner Plate,Small Plate,Bowl,Dinner Plate,Knife,Fork,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,5,4,5,4,5,,9,
1/26/2020 12:20:45,A,17,Fork,Knife,Dinner Plate,Small Plate,Bowl,Dinner Plate,Small Plate,Fork,Knife,Bowl,Knife,Dinner Plate,Small Plate,Fork,Bowl,5,5,5,5,5,,10,
1/26/2020 13:00:00,B,17,Dinner Plate,Knife,Fork,Small Plate,Bowl,Knife,Dinner Plate,Fork,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,5,5,5,2,5,,10,
1/27/2020 16:46:52,B,18,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,Fork,Knife,Dinner Plate,Small Plate,Bowl,5,5,5,4,3,,8,
1/27/2020 17:07:24,C,18,Dinner Plate,Knife,Small Plate,Fork,Bowl,Knife,Fork,Dinner Plate,Small Plate,Bowl,Knife,Dinner Plate,Small Plate,Bowl,Fork,5,5,5,2,5,,10,
1/27/2020 17:45:58,A,18,Knife,Fork,Dinner Plate,Small Plate,Bowl,Fork,Dinner Plate,Small Plate,Knife,Bowl,Dinner Plate,Knife,Small Plate,Fork,Bowl,5,5,5,1,4,,10,